PORT,DESCRIPTION,STATUS,VLAN,DUPLEX,SPEED,TYPE,MODE,DATAVLAN,VOICEVLAN,ALLOWEDVLANS,NATIVEVLAN,PORTCHANNEL,PCMODE,OTHER,MAC_ADDRESS,IP,MACVLAN,MANAGEMENT_IP,DESTINATION_HOST,REMOTE_PORT,MODEL
Gi8/40,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/40
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","68f7.284f.5203
20bb.c021.3585","192.168.16.72
192.168.24.31","Vlan16
Vlan24",192.168.24.31,SEP20BBC0213585,Port 1,Cisco IP Phone 8945
Gi8/41,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/41
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",5ca4.8afe.7b05,192.168.26.41,Vlan24,192.168.26.41,SEP5CA48AFE7B05,Port 1,Cisco IP Phone 8945
Gi8/42,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/42
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",b4e9.b0b0.0067,192.168.25.195,Vlan24,192.168.25.195,SEPB4E9B0B00067,Port 1,Cisco IP Phone 8945
Gi8/43,,connected,1,a-full,a-100,10/100/1000BaseT,,,24,"16,24,255",,,,"Building configuration...

Current configuration : 131 bytes
!
interface GigabitEthernet8/43
 switchport
 switchport trunk allowed vlan 16,24,255
 switchport voice vlan 24
 no ip address
end
",0004.f2f5.98c8,192.168.24.47,Vlan24,192.168.24.47,SEP0004f2f598c8,port 1,Cisco IP Phone 7937
Gi8/44,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,"16,24,255,2255",,,,"Building configuration...

Current configuration : 187 bytes
!
interface GigabitEthernet8/44
 switchport
 switchport access vlan 16
 switchport trunk allowed vlan 16,24,255,2255
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","e8ed.f3ab.0c27
fc4d.d4d5.05ca","192.168.25.230
192.168.16.151","Vlan24
Vlan16",192.168.25.230,SEPE8EDF3AB0C27,Port 1,Cisco IP Phone 7965
Gi8/45,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/45
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",5cfc.665c.6852,192.168.24.57,Vlan24,192.168.24.57,SEP5CFC665C6852,Port 1,Cisco IP Phone 7965
Gi8/46,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/46
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",20bb.c021.3601,192.168.25.169,Vlan24,192.168.25.169,SEP20BBC0213601,Port 1,Cisco IP Phone 8945
Gi8/47,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/47
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi8/48,,connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet8/48
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",c414.3c96.f3da,192.168.25.250,Vlan24,192.168.25.250,SEPC4143C96F3DA,Port 1,Cisco IP Phone 7965
Gi9/1,"""D119""",connected,16,a-full,a-1000,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 160 bytes
!
interface GigabitEthernet9/1
 description ""D119""
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","fc4d.d4d1.a51c
20bb.c021.3557","192.168.16.83
192.168.25.205","Vlan16
Vlan24",192.168.25.205,SEP20BBC0213557,Port 1,Cisco IP Phone 8945
Gi9/2,,notconnect,9,full,auto,10/100/1000BaseT,,9,,,,,,"Building configuration...

Current configuration : 89 bytes
!
interface GigabitEthernet9/2
 switchport
 switchport access vlan 9
 no ip address
end
",,,,,,,
Gi9/13,ftl sls admin office printer,notconnect,200,full,auto,10/100/1000BaseT,access,200,,,,,,"Building configuration...

Current configuration : 178 bytes
!
interface GigabitEthernet9/13
 description ftl sls admin office printer
 switchport
 switchport access vlan 200
 switchport mode access
 no ip address
 power inline never
end
",,,,,,,
Gi9/14,,connected,9,a-full,a-1000,10/100/1000BaseT,,9,,,,,,"Building configuration...

Current configuration : 90 bytes
!
interface GigabitEthernet9/14
 switchport
 switchport access vlan 9
 no ip address
end
",fc3f.dbbf.3e94,192.168.9.243,Vlan9,,,,
Gi9/15,ADP back counter preq printer,connected,9,a-full,a-1000,10/100/1000BaseT,access,9,,,,,,"Building configuration...

Current configuration : 157 bytes
!
interface GigabitEthernet9/15
 description ADP back counter preq printer
 switchport
 switchport access vlan 9
 switchport mode access
 no ip address
end
",a08c.fd17.350f,192.168.9.230,Vlan9,,,,
Gi9/16,,connected,9,a-full,a-1000,10/100/1000BaseT,access,9,24,,,,,"Building configuration...

Current configuration : 160 bytes
!
interface GigabitEthernet9/16
 switchport
 switchport access vlan 9
 switchport mode access
 switchport voice vlan 24
 no ip address
 power inline never
end
",b05a.dac4.7005,192.168.9.227,Vlan9,,,,
Gi9/17,*--- Freightliner ELAN ---*,connected,255,a-full,a-1000,10/100/1000BaseT,access,255,,,,,,"Building configuration...

Current configuration : 155 bytes
!
interface GigabitEthernet9/17
 description --- Freightliner ELAN ---
 switchport
 switchport access vlan 255
 switchport mode access
 no ip address
end
",c84c.752c.aac2,192.168.255.140,Vlan255,192.168.255.140,ut_parts_bc,GigabitEthernet0,cisco AIR-LAP1252AG-A-K9
Gi9/18,user port,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 164 bytes
!
interface GigabitEthernet9/18
 description user port
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/19,,notconnect,16,full,auto,10/100/1000BaseT,,16,24,,,,,"Building configuration...

Current configuration : 117 bytes
!
interface GigabitEthernet9/19
 switchport
 switchport access vlan 16
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/20,*--- Freightliner TLAN ---*,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 180 bytes
!
interface GigabitEthernet9/20
 description --- Freightliner TLAN ---
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",0004.f2f5.9868,192.168.24.73,Vlan24,192.168.24.73,SEP0004f2f59868,port 1,Cisco IP Phone 7937
Gi9/21,*--- Freightliner TLAN ---*,notconnect,30,full,auto,10/100/1000BaseT,access,30,,,,,,"Building configuration...

Current configuration : 174 bytes
!
interface GigabitEthernet9/21
 description --- Freightliner TLAN ---
 switchport
 switchport access vlan 30
 switchport mode access
 no ip address
 power inline never
end
",,,,,,,
Gi9/22,*--- Freightliner TLAN ---*,connected,256,a-full,a-1000,10/100/1000BaseT,access,256,24,,,,,"Building configuration...

Current configuration : 181 bytes
!
interface GigabitEthernet9/22
 description --- Freightliner TLAN ---
 switchport
 switchport access vlan 256
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",6c99.8984.867f,192.168.24.51,Vlan24,192.168.24.51,SEP6C998984867F,Port 1,Cisco IP Phone 7965
Gi9/23,,notconnect,1,full,auto,10/100/1000BaseT,trunk,,,,,,,"Building configuration...

Current configuration : 149 bytes
!
interface GigabitEthernet9/23
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 switchport nonegotiate
 no ip address
end
",,,,,,,
Gi9/24,,notconnect,9,full,auto,10/100/1000BaseT,access,9,,,,,,"Building configuration...

Current configuration : 134 bytes
!
interface GigabitEthernet9/24
 switchport
 switchport access vlan 9
 switchport mode access
 no ip address
 power inline never
end
",,,,,,,
Gi9/25,*---Users---*,notconnect,20,full,auto,10/100/1000BaseT,access,20,,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet9/25
 description ---Users---
 switchport
 switchport access vlan 20
 switchport mode access
 no ip address
end
",,,,,,,
Gi9/27,*--- Freightliner Users ---*,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 181 bytes
!
interface GigabitEthernet9/27
 description --- Freightliner Users ---
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/28,*--- Freightliner Users ---*,notconnect,1,full,auto,10/100/1000BaseT,trunk,,,"1,9,16,24,255,351",,22,active,"Building configuration...

Current configuration : 244 bytes
!
interface GigabitEthernet9/28
 description --- Freightliner Users ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9,16,24,255,351
 switchport mode trunk
 no ip address
 channel-group 22 mode active
end
",,,,,,,
Gi9/29,*--- Freightliner Users ---*,notconnect,20,full,auto,10/100/1000BaseT,access,20,,,,,,"Building configuration...

Current configuration : 155 bytes
!
interface GigabitEthernet9/29
 description --- Freightliner Users ---
 switchport
 switchport access vlan 20
 switchport mode access
 no ip address
end
",,,,,,,
Gi9/30,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/30
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/31,,connected,330,a-full,a-100,10/100/1000BaseT,,330,,,,,,"Building configuration...

Current configuration : 92 bytes
!
interface GigabitEthernet9/31
 switchport
 switchport access vlan 330
 no ip address
end
","0023.7d4f.6267
d057.4c31.ed18",172.20.230.190,Vlan330,172.20.230.43,WTC-SLC-DMZ-2960.warnertc.com,FastEthernet0/24,cisco WS-C2960-24PC-L
Gi9/32,,connected,330,a-full,a-100,10/100/1000BaseT,access,330,24,,,,,"Building configuration...

Current configuration : 142 bytes
!
interface GigabitEthernet9/32
 switchport
 switchport access vlan 330
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/33,*---NetAppEtherChannel---*,notconnect,256,full,auto,10/100/1000BaseT,access,256,,,,7,on,"Building configuration...

Current configuration : 223 bytes
!
interface GigabitEthernet9/33
 description ---NetAppEtherChannel---
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 power inline never
 flowcontrol receive on
 channel-group 7 mode on
end
",,,,,,,
Gi9/34,*---NetAppEtherChannel---*,notconnect,256,full,auto,10/100/1000BaseT,access,256,,,,8,on,"Building configuration...

Current configuration : 223 bytes
!
interface GigabitEthernet9/34
 description ---NetAppEtherChannel---
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 power inline never
 flowcontrol receive on
 channel-group 8 mode on
end
",,,,,,,
Gi9/35,*---NetAppEtherChannel---*,notconnect,256,full,auto,10/100/1000BaseT,access,256,,,,8,on,"Building configuration...

Current configuration : 223 bytes
!
interface GigabitEthernet9/35
 description ---NetAppEtherChannel---
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 power inline never
 flowcontrol receive on
 channel-group 8 mode on
end
",,,,,,,
Gi9/36,*---NetAppEtherChannel---*,notconnect,256,full,auto,10/100/1000BaseT,access,256,,,,7,on,"Building configuration...

Current configuration : 223 bytes
!
interface GigabitEthernet9/36
 description ---NetAppEtherChannel---
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 power inline never
 flowcontrol receive on
 channel-group 7 mode on
end
",,,,,,,
Gi9/37,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/37
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/38,,notconnect,9,full,auto,10/100/1000BaseT,access,9,,,,,,"Building configuration...

Current configuration : 134 bytes
!
interface GigabitEthernet9/38
 switchport
 switchport access vlan 9
 switchport mode access
 no ip address
 power inline never
end
",,,,,,,
Gi9/39,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/39
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/40,,connected,350,a-full,a-100,10/100/1000BaseT,,350,,,,,,"Building configuration...

Current configuration : 92 bytes
!
interface GigabitEthernet9/40
 switchport
 switchport access vlan 350
 no ip address
end
",accc.8e76.a640,172.20.50.49,Vlan350,,,,
Gi9/41,,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/41
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/42,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/42
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/43,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/43
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/44,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/44
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Gi9/45,,connected,10,a-full,a-1000,10/100/1000BaseT,access,10,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/45
 switchport
 switchport access vlan 10
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","f866.f264.8bf4
9c4e.20d0.9483
68f7.2840.d532
3cd9.2b71.3043
2c41.388d.82c3
94d4.690b.115b
1c1b.0d8e.4c5b
0023.5ec8.e21c","192.168.10.47
192.168.10.113
192.168.10.45
192.168.10.56
192.168.24.70
192.168.10.36
192.168.10.65","Vlan10
Vlan10
Vlan10
Vlan10
Vlan24
Vlan10
Vlan10",,,,
Gi9/46,,connected,9,a-full,a-1000,10/100/1000BaseT,access,9,24,,,,,"Building configuration...

Current configuration : 140 bytes
!
interface GigabitEthernet9/46
 switchport
 switchport access vlan 9
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",f481.39c9.4a69,192.168.9.166,Vlan9,,,,
Gi9/47,,connected,16,a-full,a-100,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/47
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
","0023.2462.0eba
d0c7.8915.3255","192.168.16.124
192.168.24.81","Vlan16
Vlan24",192.168.24.81,SEPd0c789153255,Port 1,Cisco IP Phone 3905
Gi9/48,,notconnect,16,full,auto,10/100/1000BaseT,access,16,24,,,,,"Building configuration...

Current configuration : 141 bytes
!
interface GigabitEthernet9/48
 switchport
 switchport access vlan 16
 switchport mode access
 switchport voice vlan 24
 no ip address
end
",,,,,,,
Po1,*--- Sterling Building ---*,notconnect,0,full,auto,,trunk,,,,,,,"Building configuration...

Current configuration : 158 bytes
!
interface Port-channel1
 description --- Sterling Building ---
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
end
",,,,,,,
Po2,*--- FreightLiner Building - Service 4500 ---*,notconnect,0,full,auto,,trunk,,,add,,,,"Building configuration...

Current configuration : 297 bytes
!
interface Port-channel2
 description --- FreightLiner Building - Service 4500 ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9-11,14,16,20,21,24,30,251,253,255,256,350
 switchport trunk allowed vlan add 901-4094
 switchport mode trunk
 no ip address
end
",,,,,,,
Po3,*--- Body Shop Building ---*,connected,trunk,a-full,a-1000,,trunk,,,"1,9-11,14,20,21,24,30,251,255,256,350,901-4094",,,,"Building configuration...

Current configuration : 237 bytes
!
interface Port-channel3
 description --- Body Shop Building ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9-11,14,20,21,24,30,251,255,256,350,901-4094
 switchport mode trunk
 no ip address
end
","accc.8e49.047b
e8ed.f3a9.3067
e8ed.f3a9.3131
0021.a07b.02c2
705a.0f14.33a6
000f.fefc.c64f
accc.8e3b.1103
705a.0f14.5344
accc.8e49.1232
b4e9.b0b0.005f
5006.0473.6752
78da.6ed0.b739
e8ed.f3a9.30f5
0023.5ec8.df3c
0023.24b4.4807
cc52.af44.4676
2c27.d731.c0a4
b4e9.b0b0.00fb
a048.1c6a.aa64
20bb.c021.363d
accc.8e26.4dd9
d0c7.8915.3d22
3cd9.2b71.2fd7
0023.24b3.b42e
accc.8e26.7355
accc.8e3a.92dc
0012.4e11.8695","172.20.50.210
192.168.25.118
192.168.24.61
192.168.255.14
192.168.9.244
192.168.11.41
172.20.50.5
192.168.9.245
172.20.50.211
192.168.25.247
192.168.25.207
192.168.255.139
192.168.25.139
192.168.255.170
192.168.11.37
192.168.11.42
192.168.11.27
192.168.25.177
192.168.9.44
192.168.25.64
172.20.50.122
192.168.25.213
192.168.11.28
192.168.9.160
172.20.50.123
172.20.50.7
192.168.11.33","Vlan350
Vlan24
Vlan24
Vlan255
Vlan9
Vlan11
Vlan350
Vlan9
Vlan350
Vlan24
Vlan24
Vlan255
Vlan24
Vlan255
Vlan11
Vlan11
Vlan11
Vlan24
Vlan9
Vlan24
Vlan350
Vlan24
Vlan11
Vlan9
Vlan350
Vlan350
Vlan11",,,,
Po4,*--- Tank Building ---*,connected,trunk,a-full,a-1000,,trunk,,,"1,9,10,20,24,251-253,255,256,350",,,,"Building configuration...

Current configuration : 218 bytes
!
interface Port-channel4
 description --- Tank Building ---
 switchport
 switchport trunk encapsulation dot1q
 switchport trunk allowed vlan 1,9,10,20,24,251-253,255,256,350
 switchport mode trunk
 no ip address
end
","4403.a758.d307
7010.5c5f.6c5d
7010.5c5e.1345
5882.a894.3a4e
5006.0473.6283
0023.5ec8.e13e
7010.5c5f.0237
448a.5b53.4171
90fb.a680.e8b2
5006.0473.5d05
448a.5b53.4699
5006.0473.5d88
0023.2464.b1d2
90fb.a67b.19ea
00e1.6dba.7a75
7010.5c5f.09b9
7010.5c5f.04cf
5067.ae25.9e81
5cfc.665c.47b3
7010.5c5e.833c
7010.5c5f.048a
448a.5b53.4653
448a.5b53.4204
009e.1ead.89d6
94d4.690b.1293
accc.8e6a.8142
7010.5c5f.0aca
5006.0473.65e9
7010.5c5f.051b
7010.5c5e.8330
5006.0473.65ea
705a.0f8a.81db
7010.5c5f.082a
5006.0473.5ebd
5006.0473.63dd
7010.5c5e.23d1
7010.5c5e.8337
7010.5c5e.184b
7010.5c5e.1123
7010.5c5e.8334
448a.5b53.4694
5006.0473.65ef
001f.6c7f.39fa
5006.0473.639b
14c9.1362.8d0f
0021.5554.a7a1
448a.5b4c.b35c
0023.24c6.895b
448a.5b53.46cf
accc.8e76.b4b7
0023.24c6.8ae9
7427.eaca.4eb6
00a3.8e83.69cb
0004.f2f5.98b7
90fb.a680.bbec
08cc.6830.59a7
0023.24c6.84e4
7010.5c5f.0413
0023.24e2.2328
001f.b526.0c45
accc.8e76.b4b3
0023.24c7.204a
001c.eeb7.7977
94d4.690b.1179
accc.8e76.b4b2
448a.5b56.19f8
accc.8e25.af94
448a.5b4c.b1f3
5006.0473.616d
acf2.c58d.2123
0023.5ec8.e1ae
20bb.c021.22a4
5006.0473.61a2
accc.8e25.af91
0800.1f66.6601
5cfc.665c.47a8
7010.5c5e.a537
5cfc.665c.47a9
7010.5c5e.1208
accc.8e25.af93
accc.8e76.b17e
5006.0473.5c85
accc.8e25.af92
accc.8e26.d1bb
0057.d2d0.5cb0
448a.5bea.9a55
5006.0473.6379
08cc.6830.7a8b
448a.5b53.4724
5006.0473.5cff
5006.0473.d933
5006.0473.67ed
448a.5b53.46bb
5006.0473.e048
5006.0473.637d
7010.5c5e.29a8
20bb.c093.f233
0023.24b5.5d9c
7010.5c5f.908d
448a.5b53.4720
5006.0473.637e
448a.5b53.467e
90fb.a67b.5afb
90fb.a677.10f0
0023.2465.5cb6
7010.5c5f.6a89
3cd9.2b71.3031
0023.24b1.c406
448a.5bc2.a547
7010.5c5f.05b2
00f6.6390.43e0
7010.5c5e.1666
448a.5b4c.b3ab
448a.5b4c.b362
0023.24c2.7f8d
7010.5c5e.9cf4
448a.5b53.4119
448a.5b53.45ca
e89a.8fd6.33f9
0004.f2f5.98cc
7010.5c5f.09d4
448a.5b4c.b3af
20bb.c021.1ee2
308d.99c0.96c6
0057.d2d0.5ca1
90fb.a684.b6f3
7010.5c5e.111c
7010.5c5e.167e
7010.5c5e.14d9
7010.5c5f.02c8
7010.5c5f.6e8f
0001.6ccf.c9da
448a.5b53.45d2
7010.5c5e.8121
accc.8e26.7f7e
7010.5c5f.bbfb
5cfc.665c.474e
7010.5c5f.8c01
08cc.6830.5654
accc.8e26.735a
d8cb.8a0b.7b6d
5006.0472.a22c
6c62.6db2.42bf
448a.5b53.41c2
7010.5c5f.056e
0023.24c6.8404
0023.24a5.e4d3
448a.5b4d.0adb
5006.0473.67b0
0023.24c7.2654
e8ed.f3a9.2be7
0cbf.1500.33f8
20bb.c093.f2a7
7010.5c5f.0ab9
0023.24c7.2744
448a.5b53.459e
7010.5c5f.0afd
7010.5c5f.031d
448a.5b53.45d8","192.168.255.141
192.168.24.60
192.168.26.14
192.168.10.48
192.168.26.45
192.168.255.138
192.168.24.232
192.168.10.85
192.168.10.73
192.168.25.208
192.168.10.99
192.168.24.201
192.168.10.41
192.168.10.110
192.168.24.54
192.168.25.216
192.168.25.232
192.168.24.53
192.168.25.237
192.168.25.124
192.168.25.206
192.168.10.103
192.168.10.96
192.168.24.38
192.168.24.55
172.20.50.55
192.168.26.19
192.168.25.94
192.168.26.28
192.168.26.31
192.168.25.123
192.168.10.42
192.168.26.2
192.168.26.9
192.168.25.101
192.168.25.89
192.168.26.6
192.168.26.26
192.168.25.235
192.168.25.132
192.168.10.174
192.168.26.23
192.168.24.56
192.168.26.27
192.168.10.100
192.168.24.66
192.168.10.64
192.168.10.91
192.168.10.39
172.20.50.45
192.168.10.40
192.168.10.111
192.168.255.22
192.168.24.44
192.168.10.33
192.168.24.91
192.168.10.74
192.168.24.25
192.168.10.32
192.168.10.58
172.20.50.47
192.168.10.84
192.168.9.37
192.168.24.32
172.20.50.54
192.168.10.94
172.20.50.11
192.168.10.178
192.168.25.104
192.168.20.171
192.168.255.217
192.168.24.50
192.168.25.160
172.20.50.8
192.168.9.38
192.168.25.55
192.168.25.249
192.168.24.58
192.168.26.21
172.20.50.10
172.20.50.53
192.168.25.242
172.20.50.9
172.20.50.101
192.168.24.63
192.168.10.82
192.168.26.10
192.168.25.121
192.168.10.61
192.168.24.26
192.168.24.36
192.168.25.162
192.168.10.77
192.168.25.52
192.168.25.140
192.168.25.253
192.168.25.93
192.168.10.43
192.168.25.137
192.168.10.29
192.168.26.20
192.168.10.57
192.168.10.54
192.168.10.55
192.168.10.108
192.168.24.27
192.168.10.49
192.168.10.38
192.168.10.50
192.168.25.146
192.168.255.215
192.168.26.17
192.168.10.67
192.168.10.123
192.168.10.59
192.168.26.11
192.168.10.35
192.168.10.34
192.168.10.52
192.168.24.62
192.168.26.43
192.168.10.115
192.168.24.68
192.168.10.53
192.168.24.67
192.168.10.37
192.168.25.240
192.168.25.152
192.168.26.30
192.168.25.53
192.168.24.34
192.168.10.75
192.168.10.17
192.168.26.13
172.20.50.102
192.168.25.117
192.168.24.83
192.168.25.88
192.168.25.51
172.20.50.103
192.168.10.71
192.168.24.39
192.168.10.102
192.168.10.124
192.168.25.63
192.168.10.109
192.168.10.31
192.168.10.51
192.168.25.229
192.168.10.81
192.168.25.194
172.20.50.252
192.168.26.7
192.168.24.64
192.168.10.30
192.168.10.62
192.168.24.40
192.168.25.252
192.168.10.60","Vlan255
Vlan24
Vlan24
Vlan10
Vlan24
Vlan255
Vlan24
Vlan10
Vlan10
Vlan24
Vlan10
Vlan24
Vlan10
Vlan10
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan10
Vlan10
Vlan24
Vlan24
Vlan350
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan10
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan10
Vlan24
Vlan24
Vlan24
Vlan10
Vlan24
Vlan10
Vlan10
Vlan10
Vlan350
Vlan10
Vlan10
Vlan255
Vlan24
Vlan10
Vlan24
Vlan10
Vlan24
Vlan10
Vlan10
Vlan350
Vlan10
Vlan9
Vlan24
Vlan350
Vlan10
Vlan350
Vlan10
Vlan24
Vlan20
Vlan255
Vlan24
Vlan24
Vlan350
Vlan9
Vlan24
Vlan24
Vlan24
Vlan24
Vlan350
Vlan350
Vlan24
Vlan350
Vlan350
Vlan24
Vlan10
Vlan24
Vlan24
Vlan10
Vlan24
Vlan24
Vlan24
Vlan10
Vlan24
Vlan24
Vlan24
Vlan24
Vlan10
Vlan24
Vlan10
Vlan24
Vlan10
Vlan10
Vlan10
Vlan10
Vlan24
Vlan10
Vlan10
Vlan10
Vlan24
Vlan255
Vlan24
Vlan10
Vlan10
Vlan10
Vlan24
Vlan10
Vlan10
Vlan10
Vlan24
Vlan24
Vlan10
Vlan24
Vlan10
Vlan24
Vlan10
Vlan24
Vlan24
Vlan24
Vlan24
Vlan24
Vlan10
Vlan10
Vlan24
Vlan350
Vlan24
Vlan24
Vlan24
Vlan24
Vlan350
Vlan10
Vlan24
Vlan10
Vlan10
Vlan24
Vlan10
Vlan10
Vlan10
Vlan24
Vlan10
Vlan24
Vlan350
Vlan24
Vlan24
Vlan10
Vlan10
Vlan24
Vlan24
Vlan10",,,,
Po5,,notconnect,256,full,auto,,access,256,,,,,,"Building configuration...

Current configuration : 134 bytes
!
interface Port-channel5
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 flowcontrol receive on
end
",,,,,,,
Po6,,notconnect,256,full,auto,,access,256,,,,,,"Building configuration...

Current configuration : 134 bytes
!
interface Port-channel6
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 flowcontrol receive on
end
",,,,,,,
Po7,,notconnect,256,full,auto,,access,256,,,,,,"Building configuration...

Current configuration : 134 bytes
!
interface Port-channel7
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 flowcontrol receive on
end
",,,,,,,
Po8,,notconnect,256,full,auto,,access,256,,,,,,"Building configuration...

Current configuration : 134 bytes
!
interface Port-channel8
 switchport
 switchport access vlan 256
 switchport mode access
 no ip address
 flowcontrol receive on
end
",,,,,,,
Po9,*--- Service East shop ---*,notconnect,0,full,auto,,,,,,,,,"Building configuration...

Current configuration : 97 bytes
!
interface Port-channel9
 description --- Service East shop ---
 switchport
 no ip address
end
",,,,,,,
Po13,utna1,disabled,0,full,auto,,,,,,,,,"Building configuration...

Current configuration : 76 bytes
!
interface Port-channel13
 description utna1
 no ip address
 shutdown
end
",,,,,,,
Po14,utna2,disabled,0,full,auto,,,,,,,,,"Building configuration...

Current configuration : 76 bytes
!
interface Port-channel14
 description utna2
 no ip address
 shutdown
end
",,,,,,,
